,1332,1333,1605,1721,1801,1802,1803,1808,1812,1925,1928,1963,2002,2269,2282,2413,2432,2501,2502,2503,2531,2768,2801,2802,2871,2914,3086,3092,3099,3101,3103,3105,3289,3382,3401,3402,3405,3407,3436,3659,3861,3863,3865,4004,4005,4021,4041,4042,4043,4061,4063,4151,4183,4188,4208,4272,4307,4324,4385,4452,4502,4503,4506,4507,4519,4523,4543,4568,4578,4631,4661,4689,4704,4751,4755,4901,4902,4911,5002,5019,5020,5101,5108,5201,5202,5214,5232,5233,5301,5332,5333,5401,5406,5411,5413,5541,5631,5703,5706,5707,5711,5713,5714,5715,5801,5802,5803,5831,5901,6098,6103,6113,6146,6178,6273,6301,6302,6305,6326,6361,6366,6367,6471,6472,6473,6479,6501,6502,6503,6504,6506,6508,6526,6594,6645,6674,6701,6702,6703,6723,6724,6752,6753,6758,6762,6767,6770,6773,6841,6857,6861,6902,6920,6952,6954,6971,6976,6981,6988,7003,7004,7011,7012,7013,7186,7201,7202,7203,7205,7211,7261,7267,7269,7270,7272,7453,7731,7733,7735,7741,7751,7752,7762,7832,7911,7912,7951,7974,8001,8002,8015,8028,8031,8035,8053,8058,8233,8252,8253,8267,8270,8303,8304,8306,8308,8309,8316,8331,8332,8354,8355,8411,8591,8601,8604,8628,8630,8697,8725,8729,8750,8766,8795,8801,8802,8804,8830,9001,9005,9007,9008,9009,9020,9021,9022,9062,9064,9101,9104,9107,9147,9201,9202,9301,9412,9432,9433,9434,9437,9501,9502,9503,9531,9532,9602,9613,9681,9735,9766,9843,9983,9984
company_name,NISSUI CORP.,MARUHA NICHIRO CORP.,INPEX CORP.,COMSYS HOLDINGS CORP.,TAISEI CORP.,OBAYASHI CORP.,SHIMIZU CORP.,HASEKO CORP.,KAJIMA CORP.,"DAIWA HOUSE IND. CO., LTD.","SEKISUI HOUSE, LTD.",JGC HOLDINGS CORP.,NISSHIN SEIFUN GROUP INC.,"MEIJI HOLDINGS CO., LTD.",NH FOODS LTD.,"M3, INC.","DENA CO., LTD.",SAPPORO HOLDINGS LTD.,"ASAHI GROUP HOLDINGS, LTD.","KIRIN HOLDINGS CO., LTD.",TAKARA HOLDINGS INC.,SOJITZ CORP.,KIKKOMAN CORP.,"AJINOMOTO CO., INC.",NICHIREI CORP.,JAPAN TOBACCO INC.,"J.FRONT RETAILING CO., LTD.","ZOZO, INC.",ISETAN MITSUKOSHI HOLDINGS LTD.,"TOYOBO CO., LTD.","UNITIKA, LTD.",NISSHINBO HOLDINGS INC.,TOKYU FUDOSAN HOLDINGS CORP.,"SEVEN & I HOLDINGS CO., LTD.",TEIJIN LTD.,"TORAY INDUSTRIES, INC.","KURARAY CO., LTD.",ASAHI KASEI CORP.,SUMCO CORP.,"NEXON CO., LTD.",OJI HOLDINGS CORP.,"NIPPON PAPER INDUSTRIES CO., LTD.","HOKUETSU KISHU PAPER CO., LTD.",RESONAC HOLDINGS CORP.,"SUMITOMO CHEMICAL CO., LTD.",NISSAN CHEMICAL CORP.,"NIPPON SODA CO., LTD.",TOSOH CORP.,TOKUYAMA CORP.,"DENKA CO., LTD.","SHIN-ETSU CHEMICAL CO., LTD.","KYOWA KIRIN CO., LTD.","MITSUI CHEMICALS, INC.",MITSUBISHI CHEMICAL GROUP CORP.,UBE CORP.,"NIPPON KAYAKU CO., LTD.","NOMURA RESEARCH INSTITUTE, LTD.",DENTSU GROUP INC.,"MERCARI, INC.",KAO CORP.,"TAKEDA PHARMACEUTICAL CO., LTD.",ASTELLAS PHARMA INC.,"SUMITOMO PHARMA CO., LTD.","SHIONOGI & CO., LTD.","CHUGAI PHARMACEUTICAL CO., LTD.","EISAI CO., LTD.",TERUMO CORP.,"DAIICHI SANKYO CO., LTD.","OTSUKA HOLDINGS CO., LTD.",DIC CORP.,"ORIENTAL LAND CO., LTD.",LY CORP.,TREND MICRO INC.,"CYBERAGENT, INC.","RAKUTEN GROUP, INC.",FUJIFILM HOLDINGS CORP.,"KONICA MINOLTA, INC.","SHISEIDO CO., LTD.",SHOWA SHELL SEKIYU K.K.,"IDEMITSU KOSAN CO., LTD.","ENEOS HOLDINGS, INC.","THE YOKOHAMA RUBBER CO., LTD.",BRIDGESTONE CORP.,AGC INC.,"NIPPON SHEET GLASS CO., LTD.","NIPPON ELECTRIC GLASS CO., LTD.","SUMITOMO OSAKA CEMENT CO., LTD.",TAIHEIYO CEMENT CORP.,"TOKAI CARBON CO., LTD.",TOTO LTD.,"NGK INSULATORS, LTD.",NIPPON STEEL CORP.,"KOBE STEEL, LTD.","JFE HOLDINGS, INC.","NISSHIN STEEL CO., LTD.","PACIFIC METALS CO., LTD.","THE JAPAN STEEL WORKS, LTD.","NIPPON LIGHT METAL HOLDINGS CO., LTD.",MITSUI MINING & SMELTING CO.,"TOHO ZINC CO., LTD.",MITSUBISHI MATERIALS CORP.,"SUMITOMO METAL MINING CO., LTD.","DOWA HOLDINGS CO., LTD.","FURUKAWA CO., LTD.","FURUKAWA ELECTRIC CO., LTD.","SUMITOMO ELECTRIC IND., LTD.",FUJIKURA LTD.,"SHIZUOKA FINANCIAL GROUP, INC.","TOYO SEIKAN GROUP HOLDINGS, LTD.","RECRUIT HOLDINGS CO., LTD.",OKUMA CORP.,"AMADA CO., LTD.",DISCO CORP.,"JAPAN POST HOLDINGS CO., LTD.",SMC CORP.,KOMATSU LTD.,"SUMITOMO HEAVY IND., LTD.","HITACHI CONST. MACH. CO., LTD.",KUBOTA CORP.,EBARA CORP.,CHIYODA CORP.,"DAIKIN INDUSTRIES, LTD.",NSK LTD.,NTN CORP.,JTEKT CORP.,MINEBEA MITSUMI INC.,"HITACHI, LTD.",TOSHIBA CORP.,MITSUBISHI ELECTRIC CORP.,"FUJI ELECTRIC CO., LTD.",YASKAWA ELECTRIC CORP.,MEIDENSHA CORP.,SOCIONEXT INC.,NIDEC CORP.,OMRON CORP.,GS YUASA CORP.,NEC CORP.,FUJITSU LTD.,"OKI ELECTRIC IND. CO., LTD.",RENESAS ELECTRONICS CORP.,SEIKO EPSON CORP.,PANASONIC HOLDINGS CORP.,SHARP CORP.,SONY GROUP CORP.,TDK CORP.,"MITSUMI ELECTRIC CO., LTD.","ALPS ALPINE CO., LTD.",PIONEER CORP.,YOKOGAWA ELECTRIC CORP.,ADVANTEST CORP.,KEYENCE CORP.,DENSO CORP.,LASERTEC CORP.,"CASIO COMPUTER CO., LTD.",FANUC CORP.,KYOCERA CORP.,"TAIYO YUDEN CO., LTD.","MURATA MANUFACTURING CO., LTD.",NITTO DENKO CORP.,"MITSUI E&S HOLDINGS CO., LTD.",KANADEVIA CORP.,"MITSUBISHI HEAVY IND., LTD.","KAWASAKI HEAVY IND., LTD.",IHI CORP.,"CONCORDIA FINANCIAL GROUP, LTD.","NISSAN MOTOR CO., LTD.",ISUZU MOTORS LTD.,TOYOTA MOTOR CORP.,"HINO MOTORS, LTD.",MITSUBISHI MOTORS CORP.,MAZDA MOTOR CORP.,"HONDA MOTOR CO., LTD.",SUZUKI MOTOR CORP.,SUBARU CORP.,"YAMAHA MOTOR CO., LTD.","RYOHIN KEIKAKU CO., LTD.",NIKON CORP.,OLYMPUS CORP.,"SCREEN HOLDINGS CO., LTD.",HOYA CORP.,CANON INC.,"RICOH CO., LTD.","CITIZEN WATCH CO., LTD.",BANDAI NAMCO HOLDINGS INC.,TOPPAN HOLDINGS INC.,"DAI NIPPON PRINTING CO., LTD.",YAMAHA CORP.,"NINTENDO CO., LTD.",ITOCHU CORP.,MARUBENI CORP.,TOYOTA TSUSHO CORP.,"FAMILYMART CO., LTD.","MITSUI & CO., LTD.",TOKYO ELECTRON LTD.,SUMITOMO CORP.,MITSUBISHI CORP.,"TAKASHIMAYA CO., LTD.","MARUI GROUP CO., LTD.","CREDIT SAISON CO., LTD.","AEON CO., LTD.","UNY GROUP HOLDINGS CO., LTD.","SHINSEI BANK, LTD.","AOZORA BANK, LTD.","MITSUBISHI UFJ FINANCIAL GROUP, INC.","RESONA HOLDINGS, INC.","SUMITOMO MITSUI TRUST GROUP, INC.","SUMITOMO MITSUI FINANCIAL GROUP, INC.","THE CHIBA BANK, LTD.","THE BANK OF YOKOHAMA, LTD.","FUKUOKA FINANCIAL GROUP, INC.","THE SHIZUOKA BANK, LTD.","MIZUHO FINANCIAL GROUP, INC.",ORIX CORP.,DAIWA SECURITIES GROUP INC.,"NOMURA HOLDINGS, INC.","MATSUI SECURITIES CO., LTD.","SOMPO HOLDINGS, INC.","JAPAN EXCHANGE GROUP, INC.","MS&AD INSURANCE GROUP HOLDINGS, INC.",SONY FINANCIAL HOLDINGS INC.,"DAI-ICHI LIFE HOLDINGS, INC.","TOKIO MARINE HOLDINGS, INC.","T&D HOLDINGS, INC.","MITSUI FUDOSAN CO., LTD.","MITSUBISHI ESTATE CO., LTD.","TOKYO TATEMONO CO., LTD.","SUMITOMO REALTY & DEVELOPMENT CO., LTD.","TOBU RAILWAY CO., LTD.",TOKYU CORP.,"ODAKYU ELECTRIC RAILWAY CO., LTD.",KEIO CORP.,"KEISEI ELECTRIC RAILWAY CO., LTD.",EAST JAPAN RAILWAY CO.,WEST JAPAN RAILWAY CO.,"CENTRAL JAPAN RAILWAY CO., LTD.","NIPPON EXPRESS CO., LTD.","YAMATO HOLDINGS CO., LTD.",NIPPON YUSEN K.K.,"MITSUI O.S.K.LINES, LTD.","KAWASAKI KISEN KAISHA, LTD.","NIPPON EXPRESS HOLDINGS, INC.","JAPAN AIRLINES CO., LTD.",ANA HOLDINGS INC.,MITSUBISHI LOGISTICS CORP.,SKY PERFECT JSAT HOLDINGS INC.,NIPPON TELEGRAPH & TELEPHONE CORP.,KDDI CORP.,SOFTBANK CORP.,"NTT DOCOMO, INC.","TOKYO ELECTRIC POWER COMPANY HOLDINGS, I","CHUBU ELECTRIC POWER CO., INC.","THE KANSAI ELECTRIC POWER CO., INC.","TOKYO GAS CO., LTD.","OSAKA GAS CO., LTD.","TOHO CO., LTD",NTT DATA GROUP CORP.,TOKYO DOME CORP.,"SECOM CO., LTD.",KONAMI GROUP CORP.,"NITORI HOLDINGS CO., LTD.","FAST RETAILING CO., LTD.",SOFTBANK GROUP CORP.
2015-12-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2016-09-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2016-11-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2017-09-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2018-02-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2019-07-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2019-10-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
2020-03-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1
